"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Lifespan","Low Growing Grass","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Fertility Requirement","Fire Tolerance","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (F)","Bloom Period","Propogated by Bulbs","Berry/Nut/Seed Product","Palatable Human"
"OPCH","","Opuntia chlorotica","NA (L48)","USA(AZ, CA, NM, NV, UT)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPCO4","","Opuntia cochenillifera","NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(FL, HI, PW)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPDI3","","Opuntia dillenii","NA (L48, NAV), PR, VI","USA+(PR, VI), USA(FL, NAV, SC)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPDI3","OPSTD","Opuntia stricta var. dillenii","","","","","","","Spring","","No","No","Yellow","Yes","Green","Porous","Porous","","Red","Yes","","","9","6.0","No","Short","No","","None","Yes","Yes","Yes","High","Medium","","","29","45","Intolerant","30","Spring","No","No","Yes"
"OPEN3","","Opuntia engelmannii","NA (L48)","USA(AZ, CA, LA, MO, MS, NM, NV, OK, TX, UT)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPENE","","Opuntia engelmannii var. engelmannii","NA (L48)","USA(AZ, CA, NM, NV, TX, UT)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPENE","OPOCM","Opuntia occidentalis var. megacarpa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPENE","OPPHD","Opuntia phaeacantha var. discata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPENL","","Opuntia engelmannii var. lindheimeri","NA (L48)","USA(LA, MO, MS, NM, OK, TX)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPENL","OPLI","Opuntia lindheimeri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPFI","","Opuntia ficus-indica","NA (L48), HI, PR","USA+(PR), USA(AZ, CA, FL, GA, HI, NC, NM, TX)","Dicot","Plantae","Perennial","Tree, Shrub","Summer","","No","No","Red","Yes","Green","Porous","Porous","Coarse","","Yes","Multiple Stem","Slow","10","10","Yes","Moderate","No","Irregular","None","Yes","Yes","Yes","High","Low","None","Low","8","15","Intolerant","-3","Mid Summer","No","Yes","Yes"
"OPFR","","Opuntia fragilis","NA (L48, CAN)","CAN(AB, BC, MB, ON, SK), USA(AZ, CA, CO, IA, ID, IL, KS, MI, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPHU","","Opuntia humifusa","NA (L48, CAN)","CAN(ON), USA(AL, AR, CO, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, NE, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, WI, WV)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPLI3","","Opuntia littoralis","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPLIP","","Opuntia littoralis var. piercei","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPMA8","","Opuntia macrocentra","NA (L48)","USA(AZ, NM, TX)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPMAM","","Opuntia macrocentra var. macrocentra","NA (L48)","USA(AZ, NM, TX)","Dicot","Plantae","Perennial","Shrub, Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPMAM","OPVI","Opuntia violacea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPMAM","OPVIM","Opuntia violacea var. macrocentra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPMA2","","Opuntia macrorhiza","NA (L48)","USA(AR, AZ, CO, IA, ID, IL, KS, LA, MN, MO, MT, NE, NM, OH, OK, SD, TX, UT, WI, WY)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPMI4","","Opuntia microdasys","NA (L48)","USA(AZ)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPMO5","","Opuntia monacantha","NA (L48), HI","USA(AL, FL, GA, HI, LA, MS)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPOR","","Opuntia oricola","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPH","","Opuntia phaeacantha","NA (L48)","USA(AZ, CA, CO, KS, NM, NV, OK, SD, TX, UT)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPH","OPPHM","Opuntia phaeacantha var. major","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPO","","Opuntia polyacantha","NA (L48, CAN)","CAN(AB, BC, SK), USA(AZ, CA, CO, ID, KS, MO, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)","Dicot","Plantae","Perennial","Shrub","Spring, Summer, Fall","","No","No","Yellow","Yes","Green","Porous","Porous","Coarse","Red","Yes","Stoloniferous","Rapid","2","2.0","Yes","Moderate","No","Decumbent","None","Yes","Yes","Yes","High","Low","None","Low","10","20","Intolerant","-28","Late Spring","No","Yes","Yes"
"OPPOA","","Opuntia polyacantha var. arenaria","NA (L48)","USA(NM, TX)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPOA","OPAR3","Opuntia arenaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPOE","","Opuntia polyacantha var. erinacea","NA (L48)","USA(AZ, CA, CO, NM, NV, UT)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPOE","OPER","Opuntia erinacea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPOE","OPERE","Opuntia erinacea var. erinacea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPOH","","Opuntia polyacantha var. hystricina","NA (L48)","USA(AZ, NM)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPOH","OPERH","Opuntia erinacea var. hystricina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPOP","","Opuntia polyacantha var. polyacantha","NA (L48, CAN)","CAN(AB, BC, SK), USA(AZ, CA, CO, ID, KS, MO, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPOP","OPERU2","Opuntia erinacea var. utahensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPRE2","","Opuntia repens","PR, VI","USA+(PR, VI)","Dicot","Plantae","Perennial","Subshrub, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPRI2","","Opuntia riviereana","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPRU3","","Opuntia rufida","NA (L48)","USA(TX)","Dicot","Plantae","Perennial","Subshrub, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPTR","","Opuntia triacantha","NA (L48), PR, VI","USA+(PR, VI), USA(FL)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPTU9","","Opuntia tuna","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORPEP2","","Orbexilum pedunculatum var. pedunculatum","NA (L48)","USA(AL, AR, FL, GA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, OH, OK, SC, TN, TX, VA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORPEP2","PSPE3","Psoralea pedunculata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORPEP","","Orbexilum pedunculatum var. psoralioides","NA (L48)","USA(FL, GA, KY, MD, NC, SC, VA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORPEP","PSPS","Psoralea psoralioides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORMO5","","Orchis morio","","","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCA","","Orcuttia californica","NA (L48)","USA(CA)","Monocot","Plantae","Annual","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORPI","","Orcuttia pilosa","NA (L48)","USA(CA)","Monocot","Plantae","Annual","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORTE","","Orcuttia tenuis","NA (L48)","USA(CA)","Monocot","Plantae","Annual","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORVI2","","Orcuttia viscida","NA (L48)","USA(CA)","Monocot","Plantae","Annual","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORPA3","","Oreochrysum parryi","NA (L48)","USA(AZ, CO, NM, NV, UT, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORAL4","","Oreostemma alpigenum","NA (L48)","USA(CA, ID, MT, NV, OR, WA, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORALA2","","Oreostemma alpigenum var. alpigenum","NA (L48)","USA(OR, WA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORALH","","Oreostemma alpigenum var. haydenii","NA (L48)","USA(ID, MT, NV, OR, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORAL","","Oreoxis alpina","NA (L48)","USA(AZ, CO, NM, UT, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORMA","","Origanum majorana","NA (L48)","USA(MA, PA)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORVU","","Origanum vulgare","NA (L48, CAN)","CAN(BC, NS, ON, PE, QC), USA(AR, CA, CT, DE, IL, MA, MD, MI, NC, NJ, NY, OH, OR, PA, VA, VT, WA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORNU","","Ornithogalum nutans","NA (L48, CAN)","CAN(ON), USA(AL, AR, CT, DC, DE, IL, IN, MD, MI, MO, NC, NJ, NY, OH, OR, PA, VA, WA, WV)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORUM","","Ornithogalum umbellatum","NA (L48, CAN)","CAN(BC, NB, NF, NS, ON, QC), USA(AL, AR, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OROBA","","Orobanche","NA (L48)","CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORBU","","Orobanche bulbosa","NA (L48)","USA(CA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCA2","","Orobanche californica","NA (L48, CAN)","CAN(BC), USA(CA, ID, NV, OR, WA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCAC2","","Orobanche californica ssp. californica","NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCAC2","ORGRN","Orobanche grayana var. nelsonii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCAC2","ORGRV","Orobanche grayana var. violacea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCO4","","Orobanche cooperi","NA (L48)","USA(AZ, CA, NM, NV, TX, UT)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCO5","","Orobanche corymbosa","NA (L48, CAN)","CAN(BC), USA(CA, ID, MT, NM, NV, OR, UT, WA, WY)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCOC3","","Orobanche corymbosa ssp. corymbosa","NA (L48)","USA(CA, ID, MT, NM, NV, OR, UT, WA, WY)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORFA","","Orobanche fasciculata","NA (L48, AK, CAN)","CAN(AB, BC, MB, ON, SK, YT), USA(AK, AZ, CA, CO, IA, ID, IL, IN, KS, MI, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORFA","ORFAF","Orobanche fasciculata var. franciscana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORLU","","Orobanche ludoviciana","NA (L48, CAN)","CAN(AB, BC, MB, SK), USA(AZ, CO, IA, ID, IL, IN, KS, KY, MN, MO, MT, ND, NE, NM, NV, OH, OK, OR, SD, TN, TX, UT, VA, WA, WI, WV, WY)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORLUM","","Orobanche ludoviciana ssp. multiflora","NA (L48)","USA(AZ, CO, ID, KS, MO, NM, OK, TX, UT, WY)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORLUM","ORMU","Orobanche multiflora","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORUN","","Orobanche uniflora","NA (L48, AK, CAN, SPM)","CAN(AB, BC, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORUN","APUN2","Aphyllon uniflorum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORUN","ORUNP","Orobanche uniflora var. purpurea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORFU","","Orogenia fusiformis","NA (L48)","USA(CA, ID, MT, OR)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORLI","","Orogenia linearifolia","NA (L48)","USA(CO, ID, OR, UT, WA, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORONT","","Orontium","NA (L48)","USA(AL, CT, DC, DE, FL, GA, KY, LA, MA, MD, MS, NC, NJ, NY, PA, RI, SC, TN, TX, VA, WV)","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORAQ","","Orontium aquaticum","NA (L48)","USA(AL, CT, DC, DE, FL, GA, KY, LA, MA, MD, MS, NC, NJ, NY, PA, RI, SC, TN, TX, VA, WV)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORMO2","","Orphniospora moriopsis","NA (L48)","","Lichen","Fungi","","Lichenous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORSE","","Orthilia secunda","NA (L48, AK, CAN, GL, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WY)","Dicot","Plantae","Perennial","Subshrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORSE","PYSE","Pyrola secunda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORBR","","Orthocarpus bracteosus","NA (L48, CAN)","CAN(BC), USA(CA, MD, NY, OR, WA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCU","","Orthocarpus cuspidatus","NA (L48)","USA(CA, NV, OR)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCUC","","Orthocarpus cuspidatus ssp. copelandii","NA (L48)","USA(CA, OR)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCUC","ORCO","Orthocarpus copelandii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCUC2","","Orthocarpus cuspidatus ssp. cryptanthus","NA (L48)","USA(CA, NV, OR)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORLU2","","Orthocarpus luteus","NA (L48, CAN)","CAN(AB, BC, MB, NT, ON, SK, YT), USA(AZ, CA, CO, ID, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY)","Dicot","Plantae","Annual","Forb/herb","Spring and Summer","Slow","No","No","Yellow","Yes","Green","Porous","Porous","Coarse","Brown","No","Single Crown","Rapid","","1.5","No","","No","Erect","None","Yes","Yes","No","High","Low","None","Low","10","24","Intolerant","52","Early Summer","No","No","No"
"ORPU2","","Orthocarpus purpureoalbus","NA (L48)","USA(AZ, CO, NM, NV, UT)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORTHO7","","Orthosiphon","","USA(PW)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORIN70","","Orthothecium intricatum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORRU2","","Orthothecium rufescens","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORAF","","Orthotrichum affine","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORAN70","","Orthotrichum anomalum","NA (L48)","USA(NJ)","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCO10","","Orthotrichum consimile","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORCU2","","Orthotrichum cupulatum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORDI3","","Orthotrichum diaphanum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORGY","","Orthotrichum gymnostomum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORLY","","Orthotrichum lyellii","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OROB70","","Orthotrichum obtusifolium","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORPA6","","Orthotrichum pallens","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORPU8","","Orthotrichum pulchellum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORPU9","","Orthotrichum pumilum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORRU3","","Orthotrichum rupestre","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORSP6","","Orthotrichum speciosum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORST4","","Orthotrichum stramineum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORST6","","Orthotrichum striatum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORTE4","","Orthotrichum tenellum","NA (L48)","","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORNE","","Oryctes nevadensis","NA (L48)","USA(CA, NV)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORBA6","","Oryza barthii","","","Monocot","Plantae","","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORBA6","ORBR4","Oryza breviligulata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORGL2","","Oryza glaberrima","","","Monocot","Plantae","","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORLA3","","Oryza latifolia","PR","USA+(PR)","Monocot","Plantae","Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORSA","","Oryza sativa","NA (L48, GU, PB), PR, VI","USA+(PR, VI), USA(AL, AR, CA, GA, IL, LA, MO, MS, NC, OK, PW, SC, TN, TX, VA)","Monocot","Plantae","Annual","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORHO2","","Oryzopsis holciformis","","","Monocot","Plantae","","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSTE","","Osmadenia tenella","NA (L48)","USA(CA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSAM","","Osmanthus americanus","NA (L48)","USA(AL, FL, GA, LA, MS, NC, SC, TX, VA)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSFR2","","Osmanthus fragrans","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSBR","","Osmorhiza brachypoda","NA (L48)","USA(AZ, CA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSCL","","Osmorhiza claytonii","NA (L48, CAN)","CAN(MB, NB, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WI, WV)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSDE","","Osmorhiza depauperata","NA (L48, AK, CAN)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT), USA(AK, AZ, CA, CO, ID, ME, MI, MN, MT, NM, NV, OR, SD, UT, VT, WA, WY)","Dicot","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Slow","No","No","White","No","Green","Porous","Porous","Coarse","Brown","No","Single Crown","Moderate","","2.0","No","Moderate","No","Erect","None","No","Yes","Yes","Low","Medium","Low","Medium","14","55","Tolerant","-33","Late Spring","No","No","No"
"OSLO","","Osmorhiza longistylis","NA (L48, CAN)","CAN(AB, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
