"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Lifespan","Low Growing Grass","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Fertility Requirement","Fire Tolerance","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (F)","Bloom Period","Propogated by Bulbs","Berry/Nut/Seed Product","Palatable Human"
"ABME","","Abronia mellifera","NA (L48)","USA(ID, OR, UT, WA, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABNA","","Abronia nana","NA (L48)","USA(AZ, CA, CO, NM, NV, UT)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABPO","","Abronia pogonantha","NA (L48)","USA(CA, NV)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABTU","","Abronia turbinata","NA (L48)","USA(CA, NV, OR)","Dicot","Plantae","Annual, Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABUM","","Abronia umbellata","NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)","Dicot","Plantae","Perennial","Vine, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABUMU","","Abronia umbellata ssp. umbellata","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABVI","","Abronia villosa","NA (L48)","USA(AZ, CA, NV, UT)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABVIA","","Abronia villosa var. aurita","NA (L48)","USA(AZ, CA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABVIV","","Abronia villosa var. villosa","NA (L48)","USA(AZ, CA, NV, UT)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABPR3","","Abrus precatorius","NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(AL, AR, FL, GA, HI, PW)","Dicot","Plantae","Perennial","Vine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABUTI","","Abutilon","NA (L48, PB)","CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAB","","Abutilon abutiloides","NA (L48), PR, VI","USA+(PR, VI), USA(AZ, TX)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAB","ABLI","Abutilon lignosum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABHI","","Abutilon hirtum","NA (L48), PR, VI","USA+(PR, VI), USA(FL)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABIN","","Abutilon incanum","NA (L48), HI","USA(AZ, CO, HI, NM)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMA8","","Abutilon mauritianum","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABME3","","Abutilon megapotamicum","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMO2","","Abutilon mollicomum","NA (L48)","USA(AZ, NM, TX)","Dicot","Plantae","Perennial","Shrub, Forb/herb, Subshrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMO2","ABSO","Abutilon sonorae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABTH","","Abutilon theophrasti","NA (L48, CAN)","CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACACI","","Acacia","NA (L48, PB)","USA(AZ, CA, FL, HI, MS, OR, PW)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACAN10","","Acacia aneura","HI","USA(HI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACAN","","Acacia angustissima","NA (L48)","USA (AR, AZ, FL, KS, LA, MO, NM, OK, TX)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACBA","","Acacia baileyana","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACBE","","Acacia berlandieri","NA (L48)","USA (TX)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACBO4","","Acacia boomanii","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCA27","","Acacia cardiophylla","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCA21","","Acacia catechu","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCH8","","Acacia chinchillensis","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCH8","ACCH7","Acacia chinchellensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCO24","","Acacia collinsii","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCO","","Acacia confusa","NA (GU, PB), HI","USA(HI, PW)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCO2","","Acacia constricta","NA (L48)","USA (AZ, MD, NM, TX, VA)","Dicot","Plantae","Perennial","Tree, Shrub","Spring and Summer","","No","No","Yellow","Yes","Green","Porous","Porous","Fine","Brown","Yes","Multiple Stem","Slow","6","9.0","No","Moderate","No","Erect","Slight","Yes","Yes","No","High","Low","High","Low","4","20","Intolerant","-13","Late Spring","No","No","Yes"
"ACCO5","","Acacia cornigera","NA (L48)","USA (FL)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
