"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"CLAL3","","Clethra alnifolia","NA (L48, CAN)","CAN(NS), USA(AL, CT, DE, FL, GA, LA, MA, MD, ME, MS, NC, NH, NJ, NY, PA, RI, SC, TN, TX, VA)","Dicot","Plantae","Perennial","Shrub","Spring and Summer","","None","High","No","No","No","White","No","Green","Moderate","Porous","Coarse","Brown","Yes","Multiple Stem","Moderate","16","16","No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","Medium","Low","No","Low","Medium","High","150","Low","High","4.5","7.0","700","1700","35","60","16","None","Intermediate","-23","Summer","Routinely Available","Low","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","","Slow","Low","No","Slow","No","No","No","","No","No","No","Medium","Low","No","No","Low","No","No"
"CLPU6","","Clianthus puniceus","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLER","","Clibadium erosum","PR, VI","USA+(PR, VI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLCY5","","Clidemia cymosa","PR","USA+(PR)","Dicot","Plantae","Perennial","Shrub, Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLHI3","","Clidemia hirta","NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(HI, PW)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLMO2","","Cliftonia monophylla","NA (L48)","USA(AL, FL, GA, LA, MS, SC)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLDE70","","Climacium dendroides","NA (L48)","USA(NY)","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLVU","","Clinopodium vulgare","NA (L48, CAN, SPM)","CAN(BC, NB, NF, NS, ON, QC), FRA(SB), USA(AR, AZ, CO, CT, DC, DE, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLINT","","Clintonia","NA (L48)","CAN(AB, BC, LB, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AK, CA, CT, GA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NY, OH, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV)","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLAN2","","Clintonia andrewsiana","NA (L48)","USA(CA, OR)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLBO3","","Clintonia borealis","NA (L48, CAN, SPM)","CAN(LB, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(CT, GA, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV)","Monocot","Plantae","Perennial","Forb/herb","Spring","","None","Medium","No","No","No","Yellow","Yes","Green","Porous","Porous","Medium","Brown","No","Rhizomatous","Moderate","","1.1","No","No","Short","No","None","No","Erect","None","No","Yes","Yes","Low","Medium","No","Low","Medium","Medium","90","None","Medium","5.0","6.8","4800","11000","32","55","8","None","Intolerant","-33","Mid Spring","No Known Source","Medium","Spring","Spring","No","No","No","No","No","No","Yes","No","Yes","No","","Slow","Low","No","Slow","No","No","No","","No","No","No","","","No","No","","No","No"
"CLUM2","","Clintonia umbellulata","NA (L48)","USA(GA, KY, MD, NC, NJ, NY, OH, PA, SC, TN, VA, WV)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLUN2","","Clintonia uniflora","NA (L48, AK, CAN)","CAN(AB, BC), USA(AK, CA, ID, MT, OR, WA)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLFA2","","Clitoria falcata","PR","USA+(PR)","Dicot","Plantae","Perennial","Forb/herb, Vine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLFA2","CLRU4","Clitoria rubiginosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLLA4","","Clitoria laurifolia","NA (GU, PB), PR","USA+(PR), USA(PW)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLMA4","","Clitoria mariana","NA (L48)","USA(AL, AR, AZ, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MN, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)","Dicot","Plantae","Perennial","Vine, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLTE3","","Clitoria ternatea","NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(CA, FL, GA, HI, PW, TX)","Dicot","Plantae","Perennial","Vine, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLIVI","","Clivia","","","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLMI11","","Clivia minata","","","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLCL2","","Clusia clusioides","PR","USA+(PR)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLGU","","Clusia gundlachii","PR","USA+(PR)","Dicot","Plantae","Perennial","Tree, Shrub, Vine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLRO","","Clusia rosea","NA (L48), HI, PR, VI","USA+(PR, VI), USA(FL, HI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNDU","","Cneoridium dumosum","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNICU","","Cnicus","NA (L48)","CAN(NB, NS, ON), USA(AL, AR, AZ, CA, CT, FL, GA, ID, IL, MA, MD, MS, NC, NY, OR, SC, TN, TX, UT, VA, WA, WI)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNBE","","Cnicus benedictus","NA (L48, CAN)","CAN(NB, NS, ON), USA(AL, AR, AZ, CA, CT, FL, GA, ID, IL, MA, MD, MS, NC, NY, OR, SC, TN, TX, UT, VA, WA, WI)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNTE","","Cnidoscolus texanus","NA (L48)","USA(AR, KS, LA, OK, TX)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNURS","","Cnidoscolus urens var. stimulosus","NA (L48)","USA(AL, FL, GA, KY, LA, MS, NC, SC, VA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNURS","CNST","Cnidoscolus stimulosus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COGR9","","Coccinia grandis","NA (L48, GU), HI, VI","USA+(VI), USA(FL, HI, TX, UM)","Dicot","Plantae","Perennial","Vine, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COHI9","","Coccocypselum hirsutum","NA (L48)","USA(FL)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODI8","","Coccoloba diversifolia","NA (L48, NAV), PR, VI","USA+(PR, VI), USA(FL, NAV)","Dicot","Plantae","Perennial","Tree, Shrub","Spring","","None","","No","No","No","White","Yes","Green","Dense","Dense","Medium","Purple","No","","Moderate","38","25","No","Yes","","No","None","No","Rounded","None","Yes","Yes","Yes","Medium","Medium","No","High","Medium","","365","Low","","","","320","640","","","36","Medium","Tolerant","40","Summer","Routinely Available","","Year Round","Year Round","Yes","Yes","No","Yes","No","No","Yes","No","No","No","8069","","","No","","Yes","No","No","","No","No","Yes","Medium","Low","Yes","Yes","","No","No"
"COKR","","Coccoloba krugii","PR, VI","USA+(PR, VI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COMI","","Coccoloba microstachya","PR, VI","USA+(PR, VI)","Dicot","Plantae","Perennial","Shrub, Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COSI2","","Coccoloba sintenisii","PR","USA+(PR)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COUV","","Coccoloba uvifera","NA (L48, GU), HI, PR, VI","USA+(PR, VI), USA(FL, HI, MS, UM)","Dicot","Plantae","Perennial","Tree, Shrub","Year Round","","None","High","No","No","No","White","No","Green","","","Coarse","Purple","Yes","Multiple Stem","Slow","25","25","No","Yes","Long","No","None","Yes","Semi-Erect","None","Yes","Yes","Yes","None","Medium","No","High","Low","None","365","Medium","Low","5.0","8.0","300","700","20","60","60","High","Intermediate","17","Indeterminate","Routinely Available","High","Year Round","Year Round","No","No","No","Yes","No","Yes","Yes","No","No","No","","Slow","","No","Slow","No","No","No","Medium","No","No","No","Low","Low","Yes","Yes","","No","No"
"COVE","","Coccoloba venosa","PR, VI","USA+(PR, VI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COBA3","","Coccothrinax barbadensis","PR, VI","USA+(PR, VI)","Monocot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COCA","","Cocculus carolinus","NA (L48)","USA(AL, AR, FL, GA, IL, IN, KS, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)","Dicot","Plantae","Perennial","Vine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COGR6","","Cochlearia groenlandica","NA (L48, AK, CAN, GL, SPM)","CAN(BC, LB, MB, NF, NT, NU, ON, QC, YT), DEN(GL), FRA(SB), USA(AK, CA, OR, WA)","Dicot","Plantae","Annual, Biennial, Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COVI","","Cochlospermum vitifolium","PR","USA+(PR)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COCOS","","Cocos","NA (L48, PB)","USA+(PR, VI), USA(FL, GA, HI, NC, PW, SC, UM)","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CONU","","Cocos nucifera","NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(FL, GA, HI, NC, PW, SC, UM)","Monocot","Plantae","Perennial","Tree","Year Round","","None","High","No","Yes","No","White","No","Green","Porous","Porous","Coarse","Brown","Yes","Single Stem","Moderate","60","60","No","Yes","Moderate","No","None","No","Erect","None","Yes","Yes","Yes","Medium","Medium","No","Medium","Low","None","365","None","Low","4.0","8.0","150","300","20","80","60","High","Intolerant","18","Indeterminate","Routinely Available","High","Year Round","Year Round","Yes","No","No","Yes","No","No","Yes","No","No","No","","Slow","","No","None","No","No","No","","No","No","No","Low","Low","Yes","Yes","","No","No"
"COVA3","","Codiaeum variegatum","NA (GU, PB), PR","USA+(PR), USA(PW, UM)","Dicot","Plantae","Perennial","Shrub, Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COVA3","COVAP","Codiaeum variegatum var. pictum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COCY","","Coelorachis cylindrica","NA (L48)","USA(AL, AR, FL, GA, KS, LA, MO, MS, NC, OK, SC, TX)","Monocot","Plantae","Perennial","Graminoid","Spring","Slow","None","","No","No","No","Green","No","Green","Porous","Porous","Fine","Brown","No","Rhizomatous","Moderate","","3.2","No","No","Moderate","Yes","None","No","Erect","None","Yes","Yes","Yes","None","Medium","No","High","Low","None","160","None","Low","4.0","7.0","","","30","60","6","None","Intermediate","-23","Summer","No Known Source","Low","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","275000","Slow","Low","No","Moderate","No","No","No","","No","No","No","Medium","Medium","No","No","","No","No"
"CORU3","","Coelorachis rugosa","NA (L48)","USA(AL, AR, DE, FL, GA, LA, MD, MS, NC, NJ, SC, TX, VA)","Monocot","Plantae","Perennial","Graminoid","Spring and Summer","Moderate","None","Medium","No","No","No","White","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate","","2.0","No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","Low","None","No","Low","Low","None","150","None","Medium","5.0","7.0","","","45","80","6","None","Intermediate","-8","Late Summer","No Known Source","Low","Fall","Fall","No","No","No","No","No","No","Yes","No","No","No","275000","Slow","Low","No","None","No","No","No","","No","No","No","Low","Low","No","No","","No","No"
"CORU3","MARU5","Manisuris rugosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COAR2","","Coffea arabica","NA (GU, PB), HI,PR, VI","USA+(PR, VI), USA(HI, PW)","Dicot","Plantae","Perennial","Tree, Shrub","Year Round","","None","High","No","Yes","No","White","Yes","Green","Dense","Dense","Medium","Red","Yes","Multiple Stem","Moderate","","15","No","Yes","Moderate","No","None","Yes","Rounded","None","Yes","Yes","No","Low","Medium","No","Medium","High","None","365","High","High","4.0","7.5","700","1100","60","100","40","Low","Tolerant","17","Spring","Routinely Available","High","Spring","Fall","No","No","No","Yes","No","No","Yes","No","No","No","1000","None","Medium","No","","Yes","No","No","","No","No","Yes","","","No","No","","No","No"
"COIX","","Coix","NA (L48, PB)","USA+(PR, VI), USA(HI, LA, NJ, NY, OH, PA, PW, TN, TX)","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COLA","","Coix lacryma-jobi","NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(HI, LA, NJ, NY, OH, PA, PW, TN, TX)","Monocot","Plantae","Annual, Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COAR9","","Cojoba arborea","PR","USA+(PR)","Dicot","Plantae","Perennial","Tree","","","None","","No","No","No","White","Yes","Dark Green","Dense","Dense","Fine","Red","Yes","","","84","56","No","Yes","","No","Low","No","","","Yes","No","No","","Medium","No","","Medium","Medium","365","Low","","6.0","8.5","320","640","30","75","36","","","40","Winter","","","Spring","Fall","No","No","No","No","No","No","Yes","No","No","No","1760","","","No","","No","No","No","","Yes","No","No","","","No","Yes","","No","Yes"
"COAR9","PIAR3","Pithecellobium arboreum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COAU4","","Colchicum autumnale","NA (L48)","USA(KY, MA, MD, NC, NH, NY, OR, UT, VT)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COSP12","","Colchicum speciosum","","","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COSU","","Coleanthus subtilis","NA (L48, CAN)","CAN(BC), USA(OR, WA)","Monocot","Plantae","Annual","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CORA","","Coleogyne ramosissima","NA (L48)","USA(AZ, CA, CO, NV, UT)","Dicot","Plantae","Perennial","Shrub","Summer","","None","Medium","No","Yes","No","Yellow","Yes","White-Gray","Dense","Dense","Coarse","Brown","No","Multiple Stem","Slow","5","6.0","No","No","Long","No","None","Yes","Semi-Erect","None","Yes","Yes","No","None","Low","Yes","High","Low","","140","Low","Low","5.9","8.0","700","1200","6","16","24","Low","Intolerant","-18","Mid Spring","Contracting Only","Medium","Spring","Summer","No","Yes","No","Yes","No","No","Yes","No","No","No","21774","Moderate","Low","No","None","No","No","Yes","","No","No","No","Low","Low","No","No","Low","No","No"
"COTE60","","Collema tenax","NA (L48)","","Lichen","Fungi","","Lichenous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COSP14","","Colletia spinosissima","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COSP14","COSP13","Colletia spinosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COCH","","Collinsia childii","NA (L48)","USA(CA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COCO2","","Collinsia corymbosa","NA (L48)","USA(CA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COHE","","Collinsia heterophylla","NA (L48)","USA(CA, IL, KY)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COPA3","","Collinsia parviflora","NA (L48, AK, CAN)","CAN(AB, BC, MB, NS, ON, SK, YT), USA(AK, AZ, CA, CO, ID, MA, MI, MT, ND, NE, NM, NV, OR, PA, SD, UT, VT, WA, WY)","Dicot","Plantae","Annual","Forb/herb","Spring","","None","Low","No","No","No","Blue","Yes","Green","Porous","Porous","Fine","Brown","No","Single Crown","Rapid","","1.0","No","No","","No","None","No","Semi-Erect","None","No","Yes","Yes","None","Low","No","Low","Medium","Low","95","None","Medium","5.6","7.0","","","16","50","6","None","Tolerant","-33","Mid Spring","No Known Source","Medium","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No","350000","Moderate","Medium","No","None","No","No","No","","No","No","No","","","No","No","","No","No"
"COSP","","Collinsia sparsiflora","NA (L48)","USA(CA, OR, WA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COTI","","Collinsia tinctoria","NA (L48)","USA(CA)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COTO","","Collinsia torreyi","NA (L48)","USA(CA, NV, OR)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COVE2","","Collinsia verna","NA (L48, CAN)","CAN(ON), USA(AR, IA, IL, IN, KS, KY, MI, MO, NY, OH, OK, PA, TN, VA, WI, WV)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COCA4","","Collinsonia canadensis","NA (L48, CAN)","CAN(ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COSE11","","Collinsonia serotina","NA (L48)","USA(AL, FL, GA, LA, MS, NC, SC)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COVE3","","Collinsonia verticillata","NA (L48)","USA(AL, FL, GA, KY, NC, OH, SC, TN, VA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COGR4","","Collomia grandiflora","NA (L48, CAN)","CAN(BC), USA(AZ, CA, CO, ID, MT, NV, OR, UT, WA, WY)","Dicot","Plantae","Annual","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
